run_id,hk1,cal_flux,fore_flux
0,   1.000000E-01,   1.000000E-01,1.0
1,   1.000000E-01,   1.489796E-01,1.0
2,   1.000000E-01,   1.979592E-01,1.0
3,   1.000000E-01,   2.469388E-01,1.0
4,   1.000000E-01,   2.959184E-01,1.0
5,   1.000000E-01,   3.448980E-01,1.0
6,   1.000000E-01,   3.938776E-01,1.0
7,   1.000000E-01,   4.428571E-01,1.0
8,   1.000000E-01,   4.918367E-01,1.0
9,   1.000000E-01,   5.408163E-01,1.0
10,   1.000000E-01,   5.897959E-01,1.0
11,   1.000000E-01,   6.387755E-01,1.0
12,   1.000000E-01,   6.877551E-01,1.0
13,   1.000000E-01,   7.367347E-01,1.0
14,   1.000000E-01,   7.857143E-01,1.0
15,   1.000000E-01,   8.346939E-01,1.0
16,   1.000000E-01,   8.836735E-01,1.0
17,   1.000000E-01,   9.326531E-01,1.0
18,   1.000000E-01,   9.816327E-01,1.0
19,   1.000000E-01,   1.030612E+00,1.0
20,   1.000000E-01,   1.079592E+00,1.0
21,   1.000000E-01,   1.128571E+00,1.0
22,   1.000000E-01,   1.177551E+00,1.0
23,   1.000000E-01,   1.226531E+00,1.0
24,   1.000000E-01,   1.275510E+00,1.0
25,   1.000000E-01,   1.324490E+00,1.0
26,   1.000000E-01,   1.373469E+00,1.0
27,   1.000000E-01,   1.422449E+00,1.0
28,   1.000000E-01,   1.471429E+00,1.0
29,   1.000000E-01,   1.520408E+00,1.0
30,   1.000000E-01,   1.569388E+00,1.0
31,   1.000000E-01,   1.618367E+00,1.0
32,   1.000000E-01,   1.667347E+00,1.0
33,   1.000000E-01,   1.716327E+00,1.0
34,   1.000000E-01,   1.765306E+00,1.0
35,   1.000000E-01,   1.814286E+00,1.0
36,   1.000000E-01,   1.863265E+00,1.0
37,   1.000000E-01,   1.912245E+00,1.0
38,   1.000000E-01,   1.961224E+00,1.0
39,   1.000000E-01,   2.010204E+00,1.0
40,   1.000000E-01,   2.059184E+00,1.0
41,   1.000000E-01,   2.108163E+00,1.0
42,   1.000000E-01,   2.157143E+00,1.0
43,   1.000000E-01,   2.206122E+00,1.0
44,   1.000000E-01,   2.255102E+00,1.0
45,   1.000000E-01,   2.304082E+00,1.0
46,   1.000000E-01,   2.353061E+00,1.0
47,   1.000000E-01,   2.402041E+00,1.0
48,   1.000000E-01,   2.451020E+00,1.0
49,   1.000000E-01,   2.500000E+00,1.0
50,   1.795918E-01,   1.000000E-01,1.0
51,   1.795918E-01,   1.489796E-01,1.0
52,   1.795918E-01,   1.979592E-01,1.0
53,   1.795918E-01,   2.469388E-01,1.0
54,   1.795918E-01,   2.959184E-01,1.0
55,   1.795918E-01,   3.448980E-01,1.0
56,   1.795918E-01,   3.938776E-01,1.0
57,   1.795918E-01,   4.428571E-01,1.0
58,   1.795918E-01,   4.918367E-01,1.0
59,   1.795918E-01,   5.408163E-01,1.0
60,   1.795918E-01,   5.897959E-01,1.0
61,   1.795918E-01,   6.387755E-01,1.0
62,   1.795918E-01,   6.877551E-01,1.0
63,   1.795918E-01,   7.367347E-01,1.0
64,   1.795918E-01,   7.857143E-01,1.0
65,   1.795918E-01,   8.346939E-01,1.0
66,   1.795918E-01,   8.836735E-01,1.0
67,   1.795918E-01,   9.326531E-01,1.0
68,   1.795918E-01,   9.816327E-01,1.0
69,   1.795918E-01,   1.030612E+00,1.0
70,   1.795918E-01,   1.079592E+00,1.0
71,   1.795918E-01,   1.128571E+00,1.0
72,   1.795918E-01,   1.177551E+00,1.0
73,   1.795918E-01,   1.226531E+00,1.0
74,   1.795918E-01,   1.275510E+00,1.0
75,   1.795918E-01,   1.324490E+00,1.0
76,   1.795918E-01,   1.373469E+00,1.0
77,   1.795918E-01,   1.422449E+00,1.0
78,   1.795918E-01,   1.471429E+00,1.0
79,   1.795918E-01,   1.520408E+00,1.0
80,   1.795918E-01,   1.569388E+00,1.0
81,   1.795918E-01,   1.618367E+00,1.0
82,   1.795918E-01,   1.667347E+00,1.0
83,   1.795918E-01,   1.716327E+00,1.0
84,   1.795918E-01,   1.765306E+00,1.0
85,   1.795918E-01,   1.814286E+00,1.0
86,   1.795918E-01,   1.863265E+00,1.0
87,   1.795918E-01,   1.912245E+00,1.0
88,   1.795918E-01,   1.961224E+00,1.0
89,   1.795918E-01,   2.010204E+00,1.0
90,   1.795918E-01,   2.059184E+00,1.0
91,   1.795918E-01,   2.108163E+00,1.0
92,   1.795918E-01,   2.157143E+00,1.0
93,   1.795918E-01,   2.206122E+00,1.0
94,   1.795918E-01,   2.255102E+00,1.0
95,   1.795918E-01,   2.304082E+00,1.0
96,   1.795918E-01,   2.353061E+00,1.0
97,   1.795918E-01,   2.402041E+00,1.0
98,   1.795918E-01,   2.451020E+00,1.0
99,   1.795918E-01,   2.500000E+00,1.0
100,   2.591837E-01,   1.000000E-01,1.0
101,   2.591837E-01,   1.489796E-01,1.0
102,   2.591837E-01,   1.979592E-01,1.0
103,   2.591837E-01,   2.469388E-01,1.0
104,   2.591837E-01,   2.959184E-01,1.0
105,   2.591837E-01,   3.448980E-01,1.0
106,   2.591837E-01,   3.938776E-01,1.0
107,   2.591837E-01,   4.428571E-01,1.0
108,   2.591837E-01,   4.918367E-01,1.0
109,   2.591837E-01,   5.408163E-01,1.0
110,   2.591837E-01,   5.897959E-01,1.0
111,   2.591837E-01,   6.387755E-01,1.0
112,   2.591837E-01,   6.877551E-01,1.0
113,   2.591837E-01,   7.367347E-01,1.0
114,   2.591837E-01,   7.857143E-01,1.0
115,   2.591837E-01,   8.346939E-01,1.0
116,   2.591837E-01,   8.836735E-01,1.0
117,   2.591837E-01,   9.326531E-01,1.0
118,   2.591837E-01,   9.816327E-01,1.0
119,   2.591837E-01,   1.030612E+00,1.0
120,   2.591837E-01,   1.079592E+00,1.0
121,   2.591837E-01,   1.128571E+00,1.0
122,   2.591837E-01,   1.177551E+00,1.0
123,   2.591837E-01,   1.226531E+00,1.0
124,   2.591837E-01,   1.275510E+00,1.0
125,   2.591837E-01,   1.324490E+00,1.0
126,   2.591837E-01,   1.373469E+00,1.0
127,   2.591837E-01,   1.422449E+00,1.0
128,   2.591837E-01,   1.471429E+00,1.0
129,   2.591837E-01,   1.520408E+00,1.0
130,   2.591837E-01,   1.569388E+00,1.0
131,   2.591837E-01,   1.618367E+00,1.0
132,   2.591837E-01,   1.667347E+00,1.0
133,   2.591837E-01,   1.716327E+00,1.0
134,   2.591837E-01,   1.765306E+00,1.0
135,   2.591837E-01,   1.814286E+00,1.0
136,   2.591837E-01,   1.863265E+00,1.0
137,   2.591837E-01,   1.912245E+00,1.0
138,   2.591837E-01,   1.961224E+00,1.0
139,   2.591837E-01,   2.010204E+00,1.0
140,   2.591837E-01,   2.059184E+00,1.0
141,   2.591837E-01,   2.108163E+00,1.0
142,   2.591837E-01,   2.157143E+00,1.0
143,   2.591837E-01,   2.206122E+00,1.0
144,   2.591837E-01,   2.255102E+00,1.0
145,   2.591837E-01,   2.304082E+00,1.0
146,   2.591837E-01,   2.353061E+00,1.0
147,   2.591837E-01,   2.402041E+00,1.0
148,   2.591837E-01,   2.451020E+00,1.0
149,   2.591837E-01,   2.500000E+00,1.0
150,   3.387755E-01,   1.000000E-01,1.0
151,   3.387755E-01,   1.489796E-01,1.0
152,   3.387755E-01,   1.979592E-01,1.0
153,   3.387755E-01,   2.469388E-01,1.0
154,   3.387755E-01,   2.959184E-01,1.0
155,   3.387755E-01,   3.448980E-01,1.0
156,   3.387755E-01,   3.938776E-01,1.0
157,   3.387755E-01,   4.428571E-01,1.0
158,   3.387755E-01,   4.918367E-01,1.0
159,   3.387755E-01,   5.408163E-01,1.0
160,   3.387755E-01,   5.897959E-01,1.0
161,   3.387755E-01,   6.387755E-01,1.0
162,   3.387755E-01,   6.877551E-01,1.0
