run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
0,23.7142362436,23.7142362436,0,23.7142362436,1,2,3,4,5,6,7,8,9,10,1,11,21,31,41,51,61,71,81,91
1,57.6648062675853,57.6648062675853,0,57.6648062675853,1,2.49,3.98,5.469,6.959,8.449,9.939,11.429,12.918,14.408,1,11,21,31,41,51,61,71,81,91
2,108.327009722702,108.327009722702,0,108.327009722702,1,2.98,4.959,6.939,8.918,10.898,12.878,14.857,16.837,18.816,1,11,21,31,41,51,61,71,81,91
3,175.478749451567,175.478749451567,0,175.478749451567,1,3.469,5.939,8.408,10.878,13.347,15.816,18.286,20.755,23.224,1,11,21,31,41,51,61,71,81,91
4,259.062467769653,259.062467769653,0,259.062467769653,1,3.959,6.918,9.878,12.837,15.796,18.755,21.714,24.673,27.633,1,11,21,31,41,51,61,71,81,91
5,359.008078081424,359.008078081424,0,359.008078081424,1,4.449,7.898,11.347,14.796,18.245,21.694,25.143,28.592,32.041,1,11,21,31,41,51,61,71,81,91
6,475.307231064966,475.307231064966,0,475.307231064966,1,4.939,8.878,12.816,16.755,20.694,24.633,28.571,32.51,36.449,1,11,21,31,41,51,61,71,81,91
7,607.972156853432,607.972156853432,0,607.972156853432,1,5.429,9.857,14.286,18.714,23.143,27.571,32,36.429,40.857,1,11,21,31,41,51,61,71,81,91
8,756.946693436698,756.946693436698,0,756.946693436698,1,5.918,10.837,15.755,20.673,25.592,30.51,35.429,40.347,45.265,1,11,21,31,41,51,61,71,81,91
9,922.247702723603,922.247702723603,0,922.247702723603,1,6.408,11.816,17.224,22.633,28.041,33.449,38.857,44.265,49.673,1,11,21,31,41,51,61,71,81,91
10,1103.90551777538,1103.90551777538,0,1103.90551777538,1,6.898,12.796,18.694,24.592,30.49,36.388,42.286,48.184,54.082,1,11,21,31,41,51,61,71,81,91
11,1301.85195532879,1301.85195532879,0,1301.85195532879,1,7.388,13.776,20.163,26.551,32.939,39.327,45.714,52.102,58.49,1,11,21,31,41,51,61,71,81,91
12,1516.1563219173,1516.1563219173,0,1516.1563219173,1,7.878,14.755,21.633,28.51,35.388,42.265,49.143,56.02,62.898,1,11,21,31,41,51,61,71,81,91
13,1746.73992793812,1746.73992793812,0,1746.73992793812,1,8.367,15.735,23.102,30.469,37.837,45.204,52.571,59.939,67.306,1,11,21,31,41,51,61,71,81,91
14,1993.63876337006,1993.63876337006,0,1993.63876337006,1,8.857,16.714,24.571,32.429,40.286,48.143,56,63.857,71.714,1,11,21,31,41,51,61,71,81,91
15,2256.9008328997,2256.9008328997,0,2256.9008328997,1,9.347,17.694,26.041,34.388,42.735,51.082,59.429,67.776,76.122,1,11,21,31,41,51,61,71,81,91
16,2536.43062835309,2536.43062835309,0,2536.43062835309,1,9.837,18.673,27.51,36.347,45.184,54.02,62.857,71.694,80.531,1,11,21,31,41,51,61,71,81,91
17,2832.32831154912,2832.32831154912,0,2832.32831154912,1,10.327,19.653,28.98,38.306,47.633,56.959,66.286,75.612,84.939,1,11,21,31,41,51,61,71,81,91
18,3144.48687181787,3144.48687181787,0,3144.48687181787,1,10.816,20.633,30.449,40.265,50.082,59.898,69.714,79.531,89.347,1,11,21,31,41,51,61,71,81,91
19,3472.95778355226,3472.95778355226,0,3472.95778355226,1,11.306,21.612,31.918,42.224,52.531,62.837,73.143,83.449,93.755,1,11,21,31,41,51,61,71,81,91
20,3817.80434230094,3817.80434230094,0,3817.80434230094,1,11.796,22.592,33.388,44.184,54.98,65.776,76.571,87.367,98.163,1,11,21,31,41,51,61,71,81,91
21,4178.90210554448,4178.90210554448,0,4178.90210554448,1,12.286,23.571,34.857,46.143,57.429,68.714,80,91.286,102.571,1,11,21,31,41,51,61,71,81,91
22,4556.38097794377,4556.38097794377,0,4556.38097794377,1,12.776,24.551,36.327,48.102,59.878,71.653,83.429,95.204,106.98,1,11,21,31,41,51,61,71,81,91
23,4950.10483595115,4950.10483595115,0,4950.10483595115,1,13.265,25.531,37.796,50.061,62.327,74.592,86.857,99.122,111.388,1,11,21,31,41,51,61,71,81,91
24,5360.01451468114,5360.01451468114,0,5360.01451468114,1,13.755,26.51,39.265,52.02,64.775,77.531,90.286,103.041,115.796,1,11,21,31,41,51,61,71,81,91
25,5786.43438329037,5786.43438329037,0,5786.43438329037,1,14.245,27.49,40.735,53.98,67.224,80.469,93.714,106.959,120.204,1,11,21,31,41,51,61,71,81,91
26,6229.09009829326,6229.09009829326,0,6229.09009829326,1,14.735,28.469,42.204,55.939,69.673,83.408,97.143,110.878,124.612,1,11,21,31,41,51,61,71,81,91
