  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    84.69405          1        0.000000           -119.3370           0.4750458E-02
    84.69405          2        0.000000           -119.5864           0.4747645E-02
    84.69405          3        0.000000           -119.1550           0.4752512E-02
    84.69405          4        0.000000           -118.2719           0.4762506E-02
    84.69405          5        0.000000           -116.8312           0.4778901E-02
    84.69405          6        0.000000           -114.8723           0.4801375E-02
    84.69405          7        0.000000           -112.4420           0.4829552E-02
    84.69405          8        0.000000           -109.6604           0.4862212E-02
    84.69405          9        0.000000           -106.6422           0.4898152E-02
    84.69405         10        0.000000           -103.6098           0.4934801E-02
    84.69405         11        0.000000           -100.8240           0.4968956E-02
    84.69405         12        0.000000           -98.36002           0.4999561E-02
    84.69405         13        0.000000           -96.34942           0.5024817E-02
    84.69405         14        0.000000           -94.72261           0.5045438E-02
    84.69405         15        0.000000           -93.48280           0.5061268E-02
    84.69405         16        0.000000           -92.63317           0.5072174E-02
    84.69405         17        0.000000           -92.14964           0.5078401E-02
    84.69405         18        0.000000           -91.99449           0.5080403E-02
    84.69405         19        0.000000           -92.12421           0.5078730E-02
    84.69405         20        0.000000           -92.49990           0.5073889E-02
    84.69405         21        0.000000           -93.08915           0.5066315E-02
    84.69405         22        0.000000           -93.89489           0.5055996E-02
    84.69405         23        0.000000           -94.69073           0.5045844E-02
    84.69405         24        0.000000           -95.29325           0.5038186E-02
    84.69405         25        0.000000           -95.61926           0.5034051E-02
    84.69405         26        0.000000           -95.55796           0.5034828E-02
    84.69405         27        0.000000           -95.04072           0.5041393E-02
    84.69405         28        0.000000           -94.04626           0.5054062E-02
    84.69405         29        0.000000           -92.52023           0.5073627E-02
    84.69405         30        0.000000           -90.43997           0.5100544E-02
    84.69405         31        0.000000           -87.72271           0.5136136E-02
    84.69405         32        0.000000           -84.29388           0.5181764E-02
    84.69405         33        0.000000           -80.06320           0.5239191E-02
    84.69405         34        0.000000           -74.87081           0.5311438E-02
    84.69405         35        0.000000           -68.53194           0.5402383E-02
    84.69405         36        0.000000           -60.80329           0.5517571E-02
    84.69405         37        0.000000           -51.34241           0.5665442E-02
    84.69405         38        0.000000           -39.67520           0.5859084E-02
