site,datetime,value
fa_hw_20170702,,-338.1883
fa_tw_20170702,,-593.08623
fo_gage_1,2016-01-01,14492.74278662244
fo_gage_1,2016-01-02,13582.835995535354
fo_gage_1,2016-01-03,14191.10926345766
fo_gage_1,2016-01-04,12790.708617148457
fo_gage_1,2016-01-05,19220.924731687028
fo_gage_1,2016-01-06,8863.131267058876
fo_gage_1,2016-01-07,22388.0721679001
fo_gage_1,2016-01-08,14102.345606121266
fo_gage_1,2016-01-09,17821.65179563217
fo_gage_1,2016-01-10,15917.542267865432
fo_gage_1,2016-01-11,21689.75546359858
fo_gage_1,2016-01-12,9885.783889361637
fo_gage_1,2016-01-13,15863.064750026928
fo_gage_1,2016-01-14,15670.673239014874
fo_gage_1,2016-01-15,20844.376932495066
fo_gage_1,2016-01-16,13341.067214903329
fo_gage_1,2016-01-17,16528.94186089805
fo_gage_1,2016-01-18,14149.502261718319
fo_gage_1,2016-01-19,17330.572147409806
fo_gage_1,2016-01-20,19210.629281468104
fo_gage_1,2016-01-21,13555.48699528307
fo_gage_1,2016-01-22,21343.755886393104
fo_gage_1,2016-01-23,20509.398863356146
fo_gage_1,2016-01-24,19122.146216403427
fo_gage_1,2016-01-25,20488.770959675254
fo_gage_1,2016-01-26,15011.178552976007
fo_gage_1,2016-01-27,16994.87426235321
fo_gage_1,2016-01-28,14158.805545937365
fo_gage_1,2016-01-29,16586.3608405374
fo_gage_1,2016-01-30,19371.804129601638
fo_gage_1,2016-01-31,15098.486368059856
fo_gage_1,2016-02-01,16099.976242090988
fo_gage_1,2016-02-02,15082.108312036386
fo_gage_1,2016-02-03,14542.840011890856
fo_gage_1,2016-02-04,15138.588002875362
fo_gage_1,2016-02-05,17521.072901217885
fo_gage_1,2016-02-06,13608.033670093648
fo_gage_1,2016-02-07,18326.55196108291
fo_gage_1,2016-02-08,23312.354707455994
fo_gage_1,2016-02-09,20165.005859463905
fo_gage_1,2016-02-10,16862.28541008094
fo_gage_1,2016-02-11,14387.193163060983
fo_gage_1,2016-02-12,14830.146067453352
fo_gage_1,2016-02-13,23318.299540456286
fo_gage_1,2016-02-14,17565.369869218805
fo_gage_1,2016-02-15,15149.970805768437
fo_gage_1,2016-02-16,17994.954192155947
fo_gage_1,2016-02-17,24597.88462594558
fo_gage_1,2016-02-18,17680.986200474
fo_gage_1,2016-02-19,19342.388762548842
fo_gage_1,2016-02-20,18220.373727390284
fo_gage_1,2016-02-21,15944.69009874653
fo_gage_1,2016-02-22,13279.240543012984
fo_gage_1,2016-02-23,15932.016562976678
fo_gage_1,2016-02-24,16350.740538197018
fo_gage_1,2016-02-25,19053.140128984476
fo_gage_1,2016-02-26,19847.98120150308
fo_gage_1,2016-02-27,20130.79419813926
fo_gage_1,2016-02-28,17875.29012451835
fo_gage_1,2016-02-29,19828.859332902957
fo_gage_1,2016-03-01,14276.622068985009
fo_gage_1,2016-03-02,21022.19156165936
fo_gage_1,2016-03-03,18522.320465156183
fo_gage_1,2016-03-04,15732.161422585832
fo_gage_1,2016-03-05,18272.227250499658
fo_gage_1,2016-03-06,16340.183975516142
fo_gage_1,2016-03-07,20269.263429956616
fo_gage_1,2016-03-08,21522.100188007076
fo_gage_1,2016-03-09,23584.924765196738
fo_gage_1,2016-03-10,11760.773667831647
fo_gage_1,2016-03-11,11549.625523658227
fo_gage_1,2016-03-12,14519.273405263
fo_gage_1,2016-03-13,16577.88152754719
fo_gage_1,2016-03-14,18795.807719528413
fo_gage_1,2016-03-15,16921.968507988273
fo_gage_1,2016-03-16,9421.936876483398
fo_gage_1,2016-03-17,14788.229914781936
fo_gage_1,2016-03-18,18327.31728234492
fo_gage_1,2016-03-19,16414.47034830238
fo_gage_1,2016-03-20,17998.843261569877
fo_gage_1,2016-03-21,14819.317119691497
fo_gage_1,2016-03-22,14799.281652734642
fo_gage_1,2016-03-23,15887.081242599887
fo_gage_1,2016-03-24,16513.711311617226
fo_gage_1,2016-03-25,15796.063390207288
fo_gage_1,2016-03-26,15436.791311869034
fo_gage_1,2016-03-27,12998.716687305108
fo_gage_1,2016-03-28,16049.275768153466
fo_gage_1,2016-03-29,15159.367337984433
fo_gage_1,2016-03-30,18085.99192047218
fo_gage_1,2016-03-31,18197.25461151569
fo_gage_1,2016-04-01,15121.705347494912
