site,datetime,value
fa_hw_20170913,,1292.3582775999998
fa_tw_20170913,,1402.5664000000002
fo_gage_1,2016-01-01,5784.3783715507425
fo_gage_1,2016-01-02,19569.86447796427
fo_gage_1,2016-01-03,5774.232420346143
fo_gage_1,2016-01-04,5126.418200331442
fo_gage_1,2016-01-05,7735.587548963572
fo_gage_1,2016-01-06,3592.1990797576345
fo_gage_1,2016-01-07,9060.757637654882
fo_gage_1,2016-01-08,20111.168004853178
fo_gage_1,2016-01-09,7269.983360949247
fo_gage_1,2016-01-10,6547.300047540899
fo_gage_1,2016-01-11,8977.408207817176
fo_gage_1,2016-01-12,4116.01950921761
fo_gage_1,2016-01-13,6597.484223762677
fo_gage_1,2016-01-14,6558.608735697908
fo_gage_1,2016-01-15,8777.763529907314
fo_gage_1,2016-01-16,5622.172359222596
fo_gage_1,2016-01-17,7006.256794053425
fo_gage_1,2016-01-18,6023.174800076866
fo_gage_1,2016-01-19,7414.491047411431
fo_gage_1,2016-01-20,8265.406563227863
fo_gage_1,2016-01-21,5807.564729049955
fo_gage_1,2016-01-22,9204.588038476582
fo_gage_1,2016-01-23,8892.875197105303
fo_gage_1,2016-01-24,8339.12333612637
fo_gage_1,2016-01-25,8993.020867125088
fo_gage_1,2016-01-26,6614.494301744388
fo_gage_1,2016-01-27,7513.898195801693
fo_gage_1,2016-01-28,6295.262877050238
fo_gage_1,2016-01-29,7366.596086539329
fo_gage_1,2016-01-30,8647.408051583727
fo_gage_1,2016-01-31,6769.111539923776
fo_gage_1,2016-02-01,7265.977622060733
fo_gage_1,2016-02-02,6837.847073974434
fo_gage_1,2016-02-03,6615.3678458696395
fo_gage_1,2016-02-04,6922.818330277443
fo_gage_1,2016-02-05,8014.863879672495
fo_gage_1,2016-02-06,6265.633939733523
fo_gage_1,2016-02-07,8482.026170737088
fo_gage_1,2016-02-08,10827.187438882062
fo_gage_1,2016-02-09,9363.525298151253
fo_gage_1,2016-02-10,7870.662220558569
fo_gage_1,2016-02-11,6751.2225198059205
fo_gage_1,2016-02-12,7004.391606810275
fo_gage_1,2016-02-13,11059.151779624426
fo_gage_1,2016-02-14,8371.21707546347
fo_gage_1,2016-02-15,7251.040697047603
fo_gage_1,2016-02-16,8649.490779286638
fo_gage_1,2016-02-17,11865.08812858585
fo_gage_1,2016-02-18,8581.737661291183
fo_gage_1,2016-02-19,9434.177265540195
fo_gage_1,2016-02-20,8922.454830962308
fo_gage_1,2016-02-21,7840.031751982659
fo_gage_1,2016-02-22,6521.58851490741
fo_gage_1,2016-02-23,7878.759275240181
fo_gage_1,2016-02-24,8130.503860699569
fo_gage_1,2016-02-25,33237.71875549383
fo_gage_1,2016-02-26,9937.47753263255
fo_gage_1,2016-02-27,10110.40945148425
fo_gage_1,2016-02-28,9016.997657178523
fo_gage_1,2016-02-29,10047.976579645065
fo_gage_1,2016-03-01,7254.484664970592
fo_gage_1,2016-03-02,10689.504585116545
fo_gage_1,2016-03-03,9427.850689019982
fo_gage_1,2016-03-04,8042.6037034780975
fo_gage_1,2016-03-05,9389.909621382292
fo_gage_1,2016-03-06,8423.807977212271
fo_gage_1,2016-03-07,10484.845691082137
fo_gage_1,2016-03-08,11148.085801051693
fo_gage_1,2016-03-09,12273.087213088967
fo_gage_1,2016-03-10,6149.084207271897
fo_gage_1,2016-03-11,6062.713869803263
fo_gage_1,2016-03-12,7657.665260025599
fo_gage_1,2016-03-13,8782.231542618334
fo_gage_1,2016-03-14,9986.337539355864
fo_gage_1,2016-03-15,31584.077975076085
fo_gage_1,2016-03-16,5048.091769239351
fo_gage_1,2016-03-17,7942.697026633288
fo_gage_1,2016-03-18,9845.541494095603
fo_gage_1,2016-03-19,8822.755423108356
fo_gage_1,2016-03-20,9705.119924578994
fo_gage_1,2016-03-21,8032.520367515652
fo_gage_1,2016-03-22,8050.753847669508
fo_gage_1,2016-03-23,8686.258628148196
fo_gage_1,2016-03-24,31642.822324561315
fo_gage_1,2016-03-25,8666.573391501179
fo_gage_1,2016-03-26,8510.720722771024
fo_gage_1,2016-03-27,7178.507837237979
fo_gage_1,2016-03-28,8892.844526064642
fo_gage_1,2016-03-29,8444.793801334798
fo_gage_1,2016-03-30,10073.094439071394
fo_gage_1,2016-03-31,10146.524652516047
fo_gage_1,2016-04-01,8456.215042576208
fo_gage_1,2016-04-02,26308.97913276409
fo_gage_1,2016-04-03,7063.499327508623
fo_gage_1,2016-04-04,8752.249155302878
fo_gage_1,2016-04-05,8162.014734004382
fo_gage_1,2016-04-06,7451.9915094051485
fo_gage_1,2016-04-07,8031.546339316248
fo_gage_1,2016-04-08,6946.650821503632
fo_gage_1,2016-04-09,8999.388119403518
fo_gage_1,2016-04-10,7151.101611137854
fo_gage_1,2016-04-11,9733.3080601701
fo_gage_1,2016-04-12,8409.602379067655
fo_gage_1,2016-04-13,8657.404917057485
fo_gage_1,2016-04-14,6006.217305030344
fo_gage_1,2016-04-15,7894.9187849860355
fo_gage_1,2016-04-16,8703.405789046157
fo_gage_1,2016-04-17,6082.819400789938
fo_gage_1,2016-04-18,7056.249916684332
fo_gage_1,2016-04-19,7442.59935813033
fo_gage_1,2016-04-20,5324.995112412639
fo_gage_1,2016-04-21,7754.606111580464
fo_gage_1,2016-04-22,8472.11506194955
fo_gage_1,2016-04-23,5965.27456371112
fo_gage_1,2016-04-24,7659.237671016302
fo_gage_1,2016-04-25,5246.337582502908
fo_gage_1,2016-04-26,7008.745958357469
fo_gage_1,2016-04-27,4746.834520685847
fo_gage_1,2016-04-28,8527.767469972156
fo_gage_1,2016-04-29,7481.2693574449495
fo_gage_1,2016-04-30,6829.92231429615
fo_gage_1,2016-05-01,5757.889394972382
fo_gage_1,2016-05-02,8482.580041025085
fo_gage_1,2016-05-03,9356.035043299193
fo_gage_1,2016-05-04,4191.0527691527195
fo_gage_1,2016-05-05,8256.31554916816
fo_gage_1,2016-05-06,8705.89609195637
fo_gage_1,2016-05-07,6956.756577462792
fo_gage_1,2016-05-08,4915.169891407052
fo_gage_1,2016-05-09,7516.1494321823075
fo_gage_1,2016-05-10,6128.454018650792
fo_gage_1,2016-05-11,5546.52539483822
fo_gage_1,2016-05-12,4714.8070416643595
fo_gage_1,2016-05-13,6884.628191824154
fo_gage_1,2016-05-14,7118.775723282794
fo_gage_1,2016-05-15,5331.578892774264
fo_gage_1,2016-05-16,6658.534643167506
fo_gage_1,2016-05-17,4605.314546388291
fo_gage_1,2016-05-18,6860.270537696024
fo_gage_1,2016-05-19,5905.957115588002
fo_gage_1,2016-05-20,5577.9084481543805
fo_gage_1,2016-05-21,5614.2031879124725
fo_gage_1,2016-05-22,23290.640433350978
fo_gage_1,2016-05-23,6445.101508560313
fo_gage_1,2016-05-24,6126.614735873698
fo_gage_1,2016-05-25,5632.659180550174
fo_gage_1,2016-05-26,5511.150196198071
fo_gage_1,2016-05-27,6037.652427798958
fo_gage_1,2016-05-28,5569.315022043986
fo_gage_1,2016-05-29,5988.082237022812
fo_gage_1,2016-05-30,4893.748467148616
fo_gage_1,2016-05-31,2650.0174653197937
fo_gage_1,2016-06-01,6167.44382294775
fo_gage_1,2016-06-02,7255.233191569906
fo_gage_1,2016-06-03,18995.51334467409
fo_gage_1,2016-06-04,4825.484991021456
fo_gage_1,2016-06-05,4728.659580922196
fo_gage_1,2016-06-06,4690.83332052283
fo_gage_1,2016-06-07,4764.712765816309
fo_gage_1,2016-06-08,12737.979582630165
fo_gage_1,2016-06-09,4153.807217340592
fo_gage_1,2016-06-10,3661.2070875657664
fo_gage_1,2016-06-11,4742.244543134271
fo_gage_1,2016-06-12,4197.975697567353
fo_gage_1,2016-06-13,4846.902009784965
fo_gage_1,2016-06-14,4201.7574405689475
fo_gage_1,2016-06-15,5152.298632315267
fo_gage_1,2016-06-16,4429.695048395417
fo_gage_1,2016-06-17,6028.025442513546
fo_gage_1,2016-06-18,2567.1110341313165
fo_gage_1,2016-06-19,3554.8141784619384
fo_gage_1,2016-06-20,4757.293937025385
fo_gage_1,2016-06-21,5996.5006030148115
fo_gage_1,2016-06-22,13085.132199200008
fo_gage_1,2016-06-23,3916.481657309606
fo_gage_1,2016-06-24,3662.2751931411235
fo_gage_1,2016-06-25,4796.092154250557
fo_gage_1,2016-06-26,3523.5517768988093
fo_gage_1,2016-06-27,4185.259212171967
fo_gage_1,2016-06-28,3404.394063247647
fo_gage_1,2016-06-29,2674.145595408604
fo_gage_1,2016-06-30,3758.5673574377533
fo_gage_1,2016-07-01,3837.1634888062204
fo_gage_1,2016-07-02,4320.987098975637
fo_gage_1,2016-07-03,3304.5667343359783
fo_gage_1,2016-07-04,2923.4795800454995
fo_gage_1,2016-07-05,3669.259888024785
fo_gage_1,2016-07-06,3420.042769309325
fo_gage_1,2016-07-07,3405.133026725209
fo_gage_1,2016-07-08,3141.303915967856
fo_gage_1,2016-07-09,3887.0554941866444
fo_gage_1,2016-07-10,3349.478081942797
fo_gage_1,2016-07-11,4260.8971989366
fo_gage_1,2016-07-12,3731.7843127094575
fo_gage_1,2016-07-13,3424.9509543476934
fo_gage_1,2016-07-14,2019.3581607368951
fo_gage_1,2016-07-15,3325.2035939953776
fo_gage_1,2016-07-16,3191.445054205749
fo_gage_1,2016-07-17,11876.037500093145
fo_gage_1,2016-07-18,3500.1335887524374
fo_gage_1,2016-07-19,2639.5219400083133
fo_gage_1,2016-07-20,3316.6944185704224
fo_gage_1,2016-07-21,2508.4664539624246
fo_gage_1,2016-07-22,3901.4869855520856
fo_gage_1,2016-07-23,2044.1003897098603
fo_gage_1,2016-07-24,1793.7428839359156
fo_gage_1,2016-07-25,1840.9612089244974
fo_gage_1,2016-07-26,2238.874766185984
fo_gage_1,2016-07-27,2093.134036051797
fo_gage_1,2016-07-28,3719.692184577454
fo_gage_1,2016-07-29,2478.7898390375085
fo_gage_1,2016-07-30,1923.0641963108305
fo_gage_1,2016-07-31,3185.5699444605425
fo_gage_1,2016-08-01,7962.691866619809
fo_gage_1,2016-08-02,1914.1429849056594
fo_gage_1,2016-08-03,10289.592050022184
fo_gage_1,2016-08-04,2783.438314093371
fo_gage_1,2016-08-05,2248.5540341810474
fo_gage_1,2016-08-06,3127.671035634243
fo_gage_1,2016-08-07,2476.707744560605
fo_gage_1,2016-08-08,3157.0057529454825
fo_gage_1,2016-08-09,2603.100007570613
fo_gage_1,2016-08-10,3063.3024547070563
fo_gage_1,2016-08-11,2356.077055952244
fo_gage_1,2016-08-12,1720.6003436867745
fo_gage_1,2016-08-13,3360.476731678709
fo_gage_1,2016-08-14,1999.1295783063517
fo_gage_1,2016-08-15,2150.44846614886
fo_gage_1,2016-08-16,1911.1045892467066
fo_gage_1,2016-08-17,2113.075478105959
fo_gage_1,2016-08-18,2289.0178481312146
fo_gage_1,2016-08-19,2251.405801406023
fo_gage_1,2016-08-20,2441.866490970461
fo_gage_1,2016-08-21,2925.73230884056
fo_gage_1,2016-08-22,2105.4374541293437
fo_gage_1,2016-08-23,1622.0561897159293
fo_gage_1,2016-08-24,1650.3170592473982
fo_gage_1,2016-08-25,1883.4820218013274
fo_gage_1,2016-08-26,1456.2115115763743
fo_gage_1,2016-08-27,8986.043860356069
fo_gage_1,2016-08-28,2002.8435521743866
fo_gage_1,2016-08-29,2098.745416710336
fo_gage_1,2016-08-30,2263.961199737464
fo_gage_1,2016-08-31,1653.6537932754973
fo_gage_1,2016-09-01,1921.653630972126
fo_gage_1,2016-09-02,2664.5867606354122
fo_gage_1,2016-09-03,2682.119038571422
fo_gage_1,2016-09-04,2209.5601877401214
fo_gage_1,2016-09-05,3347.7096673084793
fo_gage_1,2016-09-06,1837.4902552872363
fo_gage_1,2016-09-07,2351.3869931382064
fo_gage_1,2016-09-08,2433.306677975228
fo_gage_1,2016-09-09,1142.8748157268526
fo_gage_1,2016-09-10,3665.8128813732187
fo_gage_1,2016-09-11,2896.4031642909727
fo_gage_1,2016-09-12,2174.0349868115873
fo_gage_1,2016-09-13,3954.080311063913
fo_gage_1,2016-09-14,3202.028946627039
fo_gage_1,2016-09-15,3188.546198563834
fo_gage_1,2016-09-16,2638.5246702155723
fo_gage_1,2016-09-17,3136.969458969965
fo_gage_1,2016-09-18,2184.3451063323027
fo_gage_1,2016-09-19,3737.0809320316857
fo_gage_1,2016-09-20,3063.1274933991303
fo_gage_1,2016-09-21,3486.0383051731637
fo_gage_1,2016-09-22,4316.018474570341
fo_gage_1,2016-09-23,3765.162430562921
fo_gage_1,2016-09-24,3841.411901701902
fo_gage_1,2016-09-25,3942.9376295707457
fo_gage_1,2016-09-26,3263.9603454161415
fo_gage_1,2016-09-27,4558.925717157471
fo_gage_1,2016-09-28,5220.587264037378
fo_gage_1,2016-09-29,4686.989246459909
fo_gage_1,2016-09-30,4900.013699883611
fo_gage_1,2016-10-01,3506.1452169875497
fo_gage_1,2016-10-02,3597.345042243813
fo_gage_1,2016-10-03,3165.6682612653453
fo_gage_1,2016-10-04,5667.611625598019
fo_gage_1,2016-10-05,4418.419185737259
fo_gage_1,2016-10-06,6097.032012450703
fo_gage_1,2016-10-07,4109.6610281299345
fo_gage_1,2016-10-08,4545.489150645425
fo_gage_1,2016-10-09,5185.299786326974
fo_gage_1,2016-10-10,6152.6386642091975
fo_gage_1,2016-10-11,5365.451503966428
fo_gage_1,2016-10-12,5633.8389168673975
fo_gage_1,2016-10-13,5529.054726435337
fo_gage_1,2016-10-14,5813.58545005167
fo_gage_1,2016-10-15,4441.9214999068845
fo_gage_1,2016-10-16,20735.15260957802
fo_gage_1,2016-10-17,5714.029220493795
fo_gage_1,2016-10-18,5971.285170393141
fo_gage_1,2016-10-19,6755.925473341659
fo_gage_1,2016-10-20,5411.619709022753
fo_gage_1,2016-10-21,6273.023187305937
fo_gage_1,2016-10-22,6112.429758646784
fo_gage_1,2016-10-23,7168.248222599246
