run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
0,21.76,21.76,0,21.76,1,2,3,4,5,6,7,8,9,10,1,11,21,31,41,51,61,71,81,91
1,36.943073,36.943073,0,36.943073,1,2.242,3.485,4.727,5.97,7.212,8.455,9.697,10.939,12.182,1,11,21,31,41,51,61,71,81,91
2,56.128801,56.128801,0,56.128801,1,2.485,3.97,5.455,6.939,8.424,9.909,11.394,12.879,14.364,1,11,21,31,41,51,61,71,81,91
3,79.30322,79.30322,0,79.30322,1,2.727,4.455,6.182,7.909,9.636,11.364,13.091,14.818,16.545,1,11,21,31,41,51,61,71,81,91
4,106.472585,106.472585,0,106.472585,1,2.97,4.939,6.909,8.879,10.848,12.818,14.788,16.758,18.727,1,11,21,31,41,51,61,71,81,91
5,137.657017,137.657017,0,137.657017,1,3.212,5.424,7.636,9.848,12.061,14.273,16.485,18.697,20.909,1,11,21,31,41,51,61,71,81,91
6,172.832225,172.832225,0,172.832225,1,3.455,5.909,8.364,10.818,13.273,15.727,18.182,20.636,23.091,1,11,21,31,41,51,61,71,81,91
7,211.990306,211.990306,0,211.990306,1,3.697,6.394,9.091,11.788,14.485,17.182,19.879,22.576,25.273,1,11,21,31,41,51,61,71,81,91
8,255.143333,255.143333,0,255.143333,1,3.939,6.879,9.818,12.758,15.697,18.636,21.576,24.515,27.455,1,11,21,31,41,51,61,71,81,91
9,302.291306,302.291306,0,302.291306,1,4.182,7.364,10.545,13.727,16.909,20.091,23.273,26.455,29.636,1,11,21,31,41,51,61,71,81,91
10,353.45357,353.45357,0,353.45357,1,4.424,7.848,11.273,14.697,18.121,21.545,24.97,28.394,31.818,1,11,21,31,41,51,61,71,81,91
11,408.592889,408.592889,0,408.592889,1,4.667,8.333,12,15.667,19.333,23,26.667,30.333,34,1,11,21,31,41,51,61,71,81,91
12,467.727154,467.727154,0,467.727154,1,4.909,8.818,12.727,16.636,20.545,24.455,28.364,32.273,36.182,1,11,21,31,41,51,61,71,81,91
13,530.919589,530.919589,0,530.919589,1,5.152,9.303,13.455,17.606,21.758,25.909,30.061,34.212,38.364,1,11,21,31,41,51,61,71,81,91
14,598.047624,598.047624,0,598.047624,1,5.394,9.788,14.182,18.576,22.97,27.364,31.758,36.152,40.545,1,11,21,31,41,51,61,71,81,91
15,669.170605,669.170605,0,669.170605,1,5.636,10.273,14.909,19.545,24.182,28.818,33.455,38.091,42.727,1,11,21,31,41,51,61,71,81,91
16,744.288532,744.288532,0,744.288532,1,5.879,10.758,15.636,20.515,25.394,30.273,35.152,40.03,44.909,1,11,21,31,41,51,61,71,81,91
17,823.430932,823.430932,0,823.430932,1,6.121,11.242,16.364,21.485,26.606,31.727,36.848,41.97,47.091,1,11,21,31,41,51,61,71,81,91
18,906.540205,906.540205,0,906.540205,1,6.364,11.727,17.091,22.455,27.818,33.182,38.545,43.909,49.273,1,11,21,31,41,51,61,71,81,91
19,993.644424,993.644424,0,993.644424,1,6.606,12.212,17.818,23.424,29.03,34.636,40.242,45.848,51.455,1,11,21,31,41,51,61,71,81,91
20,1084.743589,1084.743589,0,1084.743589,1,6.848,12.697,18.545,24.394,30.242,36.091,41.939,47.788,53.636,1,11,21,31,41,51,61,71,81,91
21,1179.931954,1179.931954,0,1179.931954,1,7.091,13.182,19.273,25.364,31.455,37.545,43.636,49.727,55.818,1,11,21,31,41,51,61,71,81,91
22,1279.024889,1279.024889,0,1279.024889,1,7.333,13.667,20,26.333,32.667,39,45.333,51.667,58,1,11,21,31,41,51,61,71,81,91
23,1382.11277,1382.11277,0,1382.11277,1,7.576,14.152,20.727,27.303,33.879,40.455,47.03,53.606,60.182,1,11,21,31,41,51,61,71,81,91
24,1489.235306,1489.235306,0,1489.235306,1,7.818,14.636,21.455,28.273,35.091,41.909,48.727,55.545,62.364,1,11,21,31,41,51,61,71,81,91
25,1600.314533,1600.314533,0,1600.314533,1,8.061,15.121,22.182,29.242,36.303,43.364,50.424,57.485,64.545,1,11,21,31,41,51,61,71,81,91
26,1715.388706,1715.388706,0,1715.388706,1,8.303,15.606,22.909,30.212,37.515,44.818,52.121,59.424,66.727,1,11,21,31,41,51,61,71,81,91
27,1834.457825,1834.457825,0,1834.457825,1,8.545,16.091,23.636,31.182,38.727,46.273,53.818,61.364,68.909,1,11,21,31,41,51,61,71,81,91
28,1957.567417,1957.567417,0,1957.567417,1,8.788,16.576,24.364,32.152,39.939,47.727,55.515,63.303,71.091,1,11,21,31,41,51,61,71,81,91
29,2084.706185,2084.706185,0,2084.706185,1,9.03,17.061,25.091,33.121,41.152,49.182,57.212,65.242,73.273,1,11,21,31,41,51,61,71,81,91
30,2215.76402,2215.76402,0,2215.76402,1,9.273,17.545,25.818,34.091,42.364,50.636,58.909,67.182,75.455,1,11,21,31,41,51,61,71,81,91
31,2350.816801,2350.816801,0,2350.816801,1,9.515,18.03,26.545,35.061,43.576,52.091,60.606,69.121,77.636,1,11,21,31,41,51,61,71,81,91
32,2489.915873,2489.915873,0,2489.915873,1,9.758,18.515,27.273,36.03,44.788,53.545,62.303,71.061,79.818,1,11,21,31,41,51,61,71,81,91
33,2632.96,2632.96,0,2632.96,1,10,19,28,37,46,55,64,73,82,1,11,21,31,41,51,61,71,81,91
34,2779.999073,2779.999073,0,2779.999073,1,10.242,19.485,28.727,37.97,47.212,56.455,65.697,74.939,84.182,1,11,21,31,41,51,61,71,81,91
35,2931.088801,2931.088801,0,2931.088801,1,10.485,19.97,29.455,38.939,48.424,57.909,67.394,76.879,86.364,1,11,21,31,41,51,61,71,81,91
36,3086.11922,3086.11922,0,3086.11922,1,10.727,20.455,30.182,39.909,49.636,59.364,69.091,78.818,88.545,1,11,21,31,41,51,61,71,81,91
37,3245.144585,3245.144585,0,3245.144585,1,10.97,20.939,30.909,40.879,50.848,60.818,70.788,80.758,90.727,1,11,21,31,41,51,61,71,81,91
38,3408.265017,3408.265017,0,3408.265017,1,11.212,21.424,31.636,41.848,52.061,62.273,72.485,82.697,92.909,1,11,21,31,41,51,61,71,81,91
39,3575.344225,3575.344225,0,3575.344225,1,11.455,21.909,32.364,42.818,53.273,63.727,74.182,84.636,95.091,1,11,21,31,41,51,61,71,81,91
40,3746.358306,3746.358306,0,3746.358306,1,11.697,22.394,33.091,43.788,54.485,65.182,75.879,86.576,97.273,1,11,21,31,41,51,61,71,81,91
41,3921.367333,3921.367333,0,3921.367333,1,11.939,22.879,33.818,44.758,55.697,66.636,77.576,88.515,99.454,1,11,21,31,41,51,61,71,81,91
42,4100.371306,4100.371306,0,4100.371306,1,12.182,23.364,34.545,45.727,56.909,68.091,79.273,90.455,101.636,1,11,21,31,41,51,61,71,81,91
43,4283.43757,4283.43757,0,4283.43757,1,12.424,23.848,35.273,46.697,58.121,69.545,80.97,92.394,103.818,1,11,21,31,41,51,61,71,81,91
44,4470.432889,4470.432889,0,4470.432889,1,12.667,24.333,36,47.667,59.333,71,82.667,94.333,106,1,11,21,31,41,51,61,71,81,91
45,4661.423154,4661.423154,0,4661.423154,1,12.909,24.818,36.727,48.636,60.545,72.455,84.364,96.273,108.182,1,11,21,31,41,51,61,71,81,91
46,4856.599589,4856.599589,0,4856.599589,1,13.152,25.303,37.455,49.606,61.758,73.909,86.061,98.212,110.364,1,11,21,31,41,51,61,71,81,91
47,5055.583624,5055.583624,0,5055.583624,1,13.394,25.788,38.182,50.576,62.97,75.364,87.758,100.152,112.545,1,11,21,31,41,51,61,71,81,91
48,5258.562605,5258.562605,0,5258.562605,1,13.636,26.273,38.909,51.545,64.182,76.818,89.455,102.091,114.727,1,11,21,31,41,51,61,71,81,91
49,5465.536532,5465.536532,0,5465.536532,1,13.879,26.758,39.636,52.515,65.394,78.273,91.152,104.03,116.909,1,11,21,31,41,51,61,71,81,91
50,5676.582932,5676.582932,0,5676.582932,1,14.121,27.242,40.364,53.485,66.606,79.727,92.848,105.97,119.091,1,11,21,31,41,51,61,71,81,91
51,5891.548205,5891.548205,0,5891.548205,1,14.364,27.727,41.091,54.455,67.818,81.182,94.545,107.909,121.273,1,11,21,31,41,51,61,71,81,91
52,6110.508424,6110.508424,0,6110.508424,1,14.606,28.212,41.818,55.424,69.03,82.636,96.242,109.848,123.455,1,11,21,31,41,51,61,71,81,91
53,6333.463589,6333.463589,0,6333.463589,1,14.848,28.697,42.545,56.394,70.242,84.091,97.939,111.788,125.636,1,11,21,31,41,51,61,71,81,91
54,6560.635954,6560.635954,0,6560.635954,1,15.091,29.182,43.273,57.364,71.455,85.545,99.636,113.727,127.818,1,11,21,31,41,51,61,71,81,91
55,6791.584889,6791.584889,0,6791.584889,1,15.333,29.667,44,58.333,72.667,87,101.333,115.667,130,1,11,21,31,41,51,61,71,81,91
56,7026.52877,7026.52877,0,7026.52877,1,15.576,30.152,44.727,59.303,73.879,88.455,103.03,117.606,132.182,1,11,21,31,41,51,61,71,81,91
57,7265.555306,7265.555306,0,7265.555306,1,15.818,30.636,45.455,60.273,75.091,89.909,104.727,119.545,134.364,1,11,21,31,41,51,61,71,81,91
58,7508.490533,7508.490533,0,7508.490533,1,16.061,31.121,46.182,61.242,76.303,91.364,106.424,121.485,136.545,1,11,21,31,41,51,61,71,81,91
59,7755.420706,7755.420706,0,7755.420706,1,16.303,31.606,46.909,62.212,77.515,92.818,108.121,123.424,138.727,1,11,21,31,41,51,61,71,81,91
60,8006.345825,8006.345825,0,8006.345825,1,16.545,32.091,47.636,63.182,78.727,94.273,109.818,125.364,140.909,1,11,21,31,41,51,61,71,81,91
61,8261.359417,8261.359417,0,8261.359417,1,16.788,32.576,48.364,64.152,79.939,95.727,111.515,127.303,143.091,1,11,21,31,41,51,61,71,81,91
62,8520.275882,8520.275882,0,8520.275882,1,17.03,33.061,49.091,65.121,81.151,97.182,113.212,129.242,145.273,1,11,21,31,41,51,61,71,81,91
63,8783.34802,8783.34802,0,8783.34802,1,17.273,33.545,49.818,66.091,82.364,98.636,114.909,131.182,147.455,1,11,21,31,41,51,61,71,81,91
64,9050.256801,9050.256801,0,9050.256801,1,17.515,34.03,50.545,67.061,83.576,100.091,116.606,133.121,149.636,1,11,21,31,41,51,61,71,81,91
65,9321.259873,9321.259873,0,9321.259873,1,17.758,34.515,51.273,68.03,84.788,101.545,118.303,135.061,151.818,1,11,21,31,41,51,61,71,81,91
66,9596.16,9596.16,0,9596.16,1,18,35,52,69,86,103,120,137,154,1,11,21,31,41,51,61,71,81,91
67,9875.055073,9875.055073,0,9875.055073,1,18.242,35.485,52.727,69.97,87.212,104.455,121.697,138.939,156.182,1,11,21,31,41,51,61,71,81,91
68,10158.048801,10158.048801,0,10158.048801,1,18.485,35.97,53.455,70.939,88.424,105.909,123.394,140.879,158.364,1,11,21,31,41,51,61,71,81,91
69,10444.93522,10444.93522,0,10444.93522,1,18.727,36.455,54.182,71.909,89.636,107.364,125.091,142.818,160.545,1,11,21,31,41,51,61,71,81,91
70,10735.816585,10735.816585,0,10735.816585,1,18.97,36.939,54.909,72.879,90.848,108.818,126.788,144.758,162.727,1,11,21,31,41,51,61,71,81,91
71,11030.873017,11030.873017,0,11030.873017,1,19.212,37.424,55.636,73.848,92.061,110.273,128.485,146.697,164.909,1,11,21,31,41,51,61,71,81,91
72,11329.856225,11329.856225,0,11329.856225,1,19.455,37.909,56.364,74.818,93.273,111.727,130.182,148.636,167.091,1,11,21,31,41,51,61,71,81,91
73,11632.726306,11632.726306,0,11632.726306,1,19.697,38.394,57.091,75.788,94.485,113.182,131.879,150.576,169.273,1,11,21,31,41,51,61,71,81,91
74,11939.591333,11939.591333,0,11939.591333,1,19.939,38.879,57.818,76.758,95.697,114.636,133.576,152.515,171.454,1,11,21,31,41,51,61,71,81,91
75,12250.451306,12250.451306,0,12250.451306,1,20.182,39.364,58.545,77.727,96.909,116.091,135.273,154.455,173.636,1,11,21,31,41,51,61,71,81,91
76,12565.42157,12565.42157,0,12565.42157,1,20.424,39.848,59.273,78.697,98.121,117.545,136.97,156.394,175.818,1,11,21,31,41,51,61,71,81,91
77,12884.272889,12884.272889,0,12884.272889,1,20.667,40.333,60,79.667,99.333,119,138.667,158.333,178,1,11,21,31,41,51,61,71,81,91
78,13207.119154,13207.119154,0,13207.119154,1,20.909,40.818,60.727,80.636,100.545,120.455,140.364,160.273,180.182,1,11,21,31,41,51,61,71,81,91
79,13534.279589,13534.279589,0,13534.279589,1,21.152,41.303,61.455,81.606,101.758,121.909,142.061,162.212,182.364,1,11,21,31,41,51,61,71,81,91
80,13865.119624,13865.119624,0,13865.119624,1,21.394,41.788,62.182,82.576,102.97,123.364,143.758,164.152,184.545,1,11,21,31,41,51,61,71,81,91
81,14199.954605,14199.954605,0,14199.954605,1,21.636,42.273,62.909,83.545,104.182,124.818,145.455,166.091,186.727,1,11,21,31,41,51,61,71,81,91
82,14538.784532,14538.784532,0,14538.784532,1,21.879,42.758,63.636,84.515,105.394,126.273,147.152,168.03,188.909,1,11,21,31,41,51,61,71,81,91
83,14881.734932,14881.734932,0,14881.734932,1,22.121,43.242,64.364,85.485,106.606,127.727,148.848,169.97,191.091,1,11,21,31,41,51,61,71,81,91
84,15228.556205,15228.556205,0,15228.556205,1,22.364,43.727,65.091,86.455,107.818,129.182,150.545,171.909,193.273,1,11,21,31,41,51,61,71,81,91
85,15579.372424,15579.372424,0,15579.372424,1,22.606,44.212,65.818,87.424,109.03,130.636,152.242,173.848,195.455,1,11,21,31,41,51,61,71,81,91
86,15934.183589,15934.183589,0,15934.183589,1,22.848,44.697,66.545,88.394,110.242,132.091,153.939,175.788,197.636,1,11,21,31,41,51,61,71,81,91
87,16293.339954,16293.339954,0,16293.339954,1,23.091,45.182,67.273,89.364,111.455,133.545,155.636,177.727,199.818,1,11,21,31,41,51,61,71,81,91
88,16656.144889,16656.144889,0,16656.144889,1,23.333,45.667,68,90.333,112.667,135,157.333,179.667,202,1,11,21,31,41,51,61,71,81,91
89,17022.94477,17022.94477,0,17022.94477,1,23.576,46.152,68.727,91.303,113.879,136.455,159.03,181.606,204.182,1,11,21,31,41,51,61,71,81,91
90,17393.875306,17393.875306,0,17393.875306,1,23.818,46.636,69.455,92.273,115.091,137.909,160.727,183.545,206.364,1,11,21,31,41,51,61,71,81,91
91,17768.666533,17768.666533,0,17768.666533,1,24.061,47.121,70.182,93.242,116.303,139.364,162.424,185.485,208.545,1,11,21,31,41,51,61,71,81,91
92,18147.452706,18147.452706,0,18147.452706,1,24.303,47.606,70.909,94.212,117.515,140.818,164.121,187.424,210.727,1,11,21,31,41,51,61,71,81,91
93,18530.233825,18530.233825,0,18530.233825,1,24.545,48.091,71.636,95.182,118.727,142.273,165.818,189.364,212.909,1,11,21,31,41,51,61,71,81,91
