run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
0,23.7142362436,23.7142362436,0,23.7142362436,1,2,3,4,5,6,7,8,9,10,1,11,21,31,41,51,61,71,81,91
1,38.4057221722261,38.4057221722261,0,38.4057221722261,1,2.242,3.485,4.727,5.97,7.212,8.455,9.697,10.939,12.182,1,11,21,31,41,51,61,71,81,91
2,57.2409315467777,57.2409315467777,0,57.2409315467777,1,2.485,3.97,5.455,6.939,8.424,9.909,11.394,12.879,14.364,1,11,21,31,41,51,61,71,81,91
3,80.1555515332531,80.1555515332531,0,80.1555515332531,1,2.727,4.455,6.182,7.909,9.636,11.364,13.091,14.818,16.545,1,11,21,31,41,51,61,71,81,91
4,107.127294405652,107.127294405652,0,107.127294405652,1,2.97,4.939,6.909,8.879,10.848,12.818,14.788,16.758,18.727,1,11,21,31,41,51,61,71,81,91
5,138.158737399651,138.158737399651,0,138.158737399651,1,3.212,5.424,7.636,9.848,12.061,14.273,16.485,18.697,20.909,1,11,21,31,41,51,61,71,81,91
6,173.214146531525,173.214146531525,0,173.214146531525,1,3.455,5.909,8.364,10.818,13.273,15.727,18.182,20.636,23.091,1,11,21,31,41,51,61,71,81,91
7,212.277803323488,212.277803323488,0,212.277803323488,1,3.697,6.394,9.091,11.788,14.485,17.182,19.879,22.576,25.273,1,11,21,31,41,51,61,71,81,91
8,255.356245470745,255.356245470745,0,255.356245470745,1,3.939,6.879,9.818,12.758,15.697,18.636,21.576,24.515,27.455,1,11,21,31,41,51,61,71,81,91
9,302.445432383011,302.445432383011,0,302.445432383011,1,4.182,7.364,10.545,13.727,16.909,20.091,23.273,26.455,29.636,1,11,21,31,41,51,61,71,81,91
10,353.561686739747,353.561686739747,0,353.561686739747,1,4.424,7.848,11.273,14.697,18.121,21.545,24.97,28.394,31.818,1,11,21,31,41,51,61,71,81,91
11,408.665463776023,408.665463776023,0,408.665463776023,1,4.667,8.333,12,15.667,19.333,23,26.667,30.333,34,1,11,21,31,41,51,61,71,81,91
12,467.772859496632,467.772859496632,0,467.772859496632,1,4.909,8.818,12.727,16.636,20.545,24.455,28.364,32.273,36.182,1,11,21,31,41,51,61,71,81,91
13,530.945679899734,530.945679899734,0,530.945679899734,1,5.152,9.303,13.455,17.606,21.758,25.909,30.061,34.212,38.364,1,11,21,31,41,51,61,71,81,91
14,598.06022001131,598.06022001131,0,598.06022001131,1,5.394,9.788,14.182,18.576,22.97,27.364,31.758,36.152,40.545,1,11,21,31,41,51,61,71,81,91
15,669.174906385666,669.174906385666,0,669.174906385666,1,5.636,10.273,14.909,19.545,24.182,28.818,33.455,38.091,42.727,1,11,21,31,41,51,61,71,81,91
16,744.28898637638,744.28898637638,0,744.28898637638,1,5.879,10.758,15.636,20.515,25.394,30.273,35.152,40.03,44.909,1,11,21,31,41,51,61,71,81,91
17,823.431364869201,823.431364869201,0,823.431364869201,1,6.121,11.242,16.364,21.485,26.606,31.727,36.848,41.97,47.091,1,11,21,31,41,51,61,71,81,91
18,906.543923388936,906.543923388936,0,906.543923388936,1,6.364,11.727,17.091,22.455,27.818,33.182,38.545,43.909,49.273,1,11,21,31,41,51,61,71,81,91
19,993.654299517445,993.654299517445,0,993.654299517445,1,6.606,12.212,17.818,23.424,29.03,34.636,40.242,45.848,51.455,1,11,21,31,41,51,61,71,81,91
20,1084.76212494047,1084.76212494047,0,1084.76212494047,1,6.848,12.697,18.545,24.394,30.242,36.091,41.939,47.788,53.636,1,11,21,31,41,51,61,71,81,91
21,1179.96134026393,1179.96134026393,0,1179.96134026393,1,7.091,13.182,19.273,25.364,31.455,37.545,43.636,49.727,55.818,1,11,21,31,41,51,61,71,81,91
22,1279.06704721056,1279.06704721056,0,1279.06704721056,1,7.333,13.667,20,26.333,32.667,39,45.333,51.667,58,1,11,21,31,41,51,61,71,81,91
23,1382.16939098487,1382.16939098487,0,1382.16939098487,1,7.576,14.152,20.727,27.303,33.879,40.455,47.03,53.606,60.182,1,11,21,31,41,51,61,71,81,91
24,1489.30788084039,1489.30788084039,0,1489.30788084039,1,7.818,14.636,21.455,28.273,35.091,41.909,48.727,55.545,62.364,1,11,21,31,41,51,61,71,81,91
25,1600.40437943846,1600.40437943846,0,1600.40437943846,1,8.061,15.121,22.182,29.242,36.303,43.364,50.424,57.485,64.545,1,11,21,31,41,51,61,71,81,91
26,1715.49699054381,1715.49699054381,0,1715.49699054381,1,8.303,15.606,22.909,30.212,37.515,44.818,52.121,59.424,66.727,1,11,21,31,41,51,61,71,81,91
27,1834.58558182451,1834.58558182451,0,1834.58558182451,1,8.545,16.091,23.636,31.182,38.727,46.273,53.818,61.364,68.909,1,11,21,31,41,51,61,71,81,91
28,1957.71556377106,1957.71556377106,0,1957.71556377106,1,8.788,16.576,24.364,32.152,39.939,47.727,55.515,63.303,71.091,1,11,21,31,41,51,61,71,81,91
29,2084.87553689133,2084.87553689133,0,2084.87553689133,1,9.03,17.061,25.091,33.121,41.152,49.182,57.212,65.242,73.273,1,11,21,31,41,51,61,71,81,91
30,2215.95530148282,2215.95530148282,0,2215.95530148282,1,9.273,17.545,25.818,34.091,42.364,50.636,58.909,67.182,75.455,1,11,21,31,41,51,61,71,81,91
