name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH1,-3.95861,0.0731762,-4.10496,-3.81226,-3.95861,0.0636751,-4.08596,-3.83126
HKPP1,0.90309,0.451545,0,1.80618,0.90309,0.451147,0.000795649,1.80538
HKPP2,0.90309,0.451545,0,1.80618,0.90309,0.450016,0.00305753,1.80312
HKPP3,0.90309,0.451545,0,1.80618,0.90309,0.449508,0.00407389,1.80211
HKPP4,0.90309,0.451545,0,1.80618,0.90309,0.441664,0.019762,1.78642
HKPP5,0.90309,0.451545,0,1.80618,0.90309,0.448964,0.00516203,1.80102
HKPP6,0.90309,0.451545,0,1.80618,0.90309,0.451537,1.65137e-05,1.80616
HKPP7,0.90309,0.451545,0,1.80618,0.90309,0.449685,0.00371963,1.80246
HKPP8,0.90309,0.451545,0,1.80618,0.90309,0.445414,0.0122619,1.79392
HKPP9,0.90309,0.451545,0,1.80618,0.90309,0.448414,0.00626265,1.79992
HKPP10,0.90309,0.451545,0,1.80618,0.90309,0.440099,0.0228916,1.78329
HKPP11,0.90309,0.451545,0,1.80618,0.90309,0.449365,0.00435972,1.80182
HKPP12,0.90309,0.451545,0,1.80618,0.90309,0.451008,0.00107432,1.80511
HKPP13,0.90309,0.451545,0,1.80618,0.90309,0.44747,0.00814959,1.79803
HKPP14,0.90309,0.451545,0,1.80618,0.90309,0.447434,0.00822123,1.79796
HKPP15,0.90309,0.451545,0,1.80618,0.90309,0.448671,0.0057471,1.80043
HKPP16,0.90309,0.451545,0,1.80618,0.90309,0.451195,0.000700177,1.80548
HKPP17,0.90309,0.451545,0,1.80618,0.90309,0.451329,0.000431607,1.80575
HKPP18,0.90309,0.451545,0,1.80618,0.90309,0.451237,0.000615107,1.80556
HKPP19,0.90309,0.451545,0,1.80618,0.90309,0.451237,0.000615129,1.80556
HKPP20,0.90309,0.451545,0,1.80618,0.90309,0.451226,0.000637003,1.80554
HKPP21,0.90309,0.451545,0,1.80618,0.90309,0.451499,9.18015e-05,1.80609
HKPP22,0.90309,0.451545,0,1.80618,0.90309,0.451502,8.63791e-05,1.80609
