name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH1,-3.85943,5,-13.8594,6.14057,-2.9027,0.606445,-4.11559,-1.68981
RCH2,-4.02879,5,-14.0288,5.97121,-4.02879,5,-14.0288,5.97121
HKPP1,1.69897,5,-8.30103,11.699,1.70582,4.96298,-8.22014,11.6318
HKPP2,1.69897,5,-8.30103,11.699,1.53412,4.8839,-8.23367,11.3019
HKPP3,1.69897,5,-8.30103,11.699,1.61366,4.83926,-8.06486,11.2922
HKPP4,1.69897,5,-8.30103,11.699,1.25148,3.23971,-5.22793,7.7309
HKPP5,1.69897,5,-8.30103,11.699,0.85133,3.50385,-6.15637,7.85903
HKPP6,1.69897,5,-8.30103,11.699,1.42956,4.81863,-8.2077,11.0668
HKPP7,1.69897,5,-8.30103,11.699,1.50625,4.85328,-8.20031,11.2128
HKPP8,1.69897,5,-8.30103,11.699,0.881431,4.94549,-9.00956,10.7724
HKPP9,1.69897,5,-8.30103,11.699,1.87995,4.82018,-7.76041,11.5203
HKPP10,1.69897,5,-8.30103,11.699,1.16726,4.86332,-8.55938,10.8939
HKPP11,1.69897,5,-8.30103,11.699,1.06249,4.77003,-8.47756,10.6025
HKPP12,1.69897,5,-8.30103,11.699,1.39585,4.09366,-6.79147,9.58316
HKPP13,1.69897,5,-8.30103,11.699,1.57648,3.73916,-5.90184,9.0548
HKPP14,1.69897,5,-8.30103,11.699,2.76331,3.38654,-4.00976,9.53638
HKPP15,1.69897,5,-8.30103,11.699,3.03877,3.27778,-3.51679,9.59432
HKPP16,1.69897,5,-8.30103,11.699,1.65918,4.80384,-7.94849,11.2668
HKPP17,1.69897,5,-8.30103,11.699,1.25288,4.7579,-8.26291,10.7687
HKPP18,1.69897,5,-8.30103,11.699,1.55163,4.98887,-8.4261,11.5294
HKPP19,1.69897,5,-8.30103,11.699,1.87617,4.88513,-7.89408,11.6464
HKPP20,1.69897,5,-8.30103,11.699,1.80328,4.82284,-7.84241,11.449
HKPP21,1.69897,5,-8.30103,11.699,1.69537,4.94911,-8.20284,11.5936
HKPP22,1.69897,5,-8.30103,11.699,0.87154,4.97079,-9.07003,10.8131
HKPP23,1.69897,5,-8.30103,11.699,1.36838,4.99849,-8.62861,11.3654
HKPP24,1.69897,5,-8.30103,11.699,1.87045,4.9753,-8.08014,11.821
HKPP25,1.69897,5,-8.30103,11.699,2.20473,4.84117,-7.47762,11.8871
HKPP26,1.69897,5,-8.30103,11.699,2.16616,4.62087,-7.07558,11.4079
HKPP27,1.69897,5,-8.30103,11.699,0.473652,4.99788,-9.52211,10.4694
HKPP28,1.69897,5,-8.30103,11.699,1.30696,4.97451,-8.64206,11.256
HKPP29,1.69897,5,-8.30103,11.699,2.01691,4.99686,-7.97682,12.0106
HKPP30,1.69897,5,-8.30103,11.699,2.59727,3.96503,-5.33279,10.5273
HKPP31,1.69897,5,-8.30103,11.699,2.68981,4.24997,-5.81013,11.1897
HKPP32,1.69897,5,-8.30103,11.699,2.58712,3.70285,-4.81857,9.99282
HKPP33,1.69897,5,-8.30103,11.699,1.15719,4.89109,-8.62499,10.9394
HKPP34,1.69897,5,-8.30103,11.699,1.93191,4.88488,-7.83785,11.7017
HKPP35,1.69897,5,-8.30103,11.699,2.03647,3.81737,-5.59827,9.67122
HKPP36,1.69897,5,-8.30103,11.699,1.75869,4.77223,-7.78577,11.3032
HKPP37,1.69897,5,-8.30103,11.699,2.02698,4.40446,-6.78195,10.8359
HKPP38,1.69897,5,-8.30103,11.699,1.28527,4.85213,-8.419,10.9895
HKPP39,1.69897,5,-8.30103,11.699,1.50085,4.85707,-8.21329,11.215
HKPP40,1.69897,5,-8.30103,11.699,1.8946,3.55752,-5.22044,9.00963
HKPP41,1.69897,5,-8.30103,11.699,1.15586,4.96633,-8.77679,11.0885
HKPP42,1.69897,5,-8.30103,11.699,1.64095,4.38408,-7.1272,10.4091
HKPP43,1.69897,5,-8.30103,11.699,2.40004,4.54712,-6.6942,11.4943
HKPP44,1.69897,5,-8.30103,11.699,1.47609,4.97884,-8.48159,11.4338
HKPP45,1.69897,5,-8.30103,11.699,1.72322,2.96853,-4.21384,7.66028
HKPP46,1.69897,5,-8.30103,11.699,1.48959,4.50793,-7.52627,10.5054
HKPP47,1.69897,5,-8.30103,11.699,1.10876,4.84134,-8.57392,10.7914
HKPP48,1.69897,5,-8.30103,11.699,1.97217,4.67995,-7.38774,11.3321
HKPP49,1.69897,5,-8.30103,11.699,3.29036,1.67164,-0.0529216,6.63364
HKPP50,1.69897,5,-8.30103,11.699,1.59533,4.94836,-8.30139,11.4921
HKPP51,1.69897,5,-8.30103,11.699,1.58327,4.82881,-8.07434,11.2409
HKPP52,1.69897,5,-8.30103,11.699,1.27039,4.73764,-8.20489,10.7457
HKPP53,1.69897,5,-8.30103,11.699,1.22938,4.80538,-8.38139,10.8402
HKPP54,1.69897,5,-8.30103,11.699,1.61697,4.14899,-6.68101,9.91495
HKPP55,1.69897,5,-8.30103,11.699,2.45423,4.57559,-6.69694,11.6054
HKPP56,1.69897,5,-8.30103,11.699,1.64097,4.94596,-8.25096,11.5329
HKPP57,1.69897,5,-8.30103,11.699,1.58169,4.68283,-7.78397,10.9473
HKPP58,1.69897,5,-8.30103,11.699,1.45539,4.73076,-8.00613,10.9169
HKPP59,1.69897,5,-8.30103,11.699,1.39671,4.80965,-8.22259,11.016
HKPP60,1.69897,5,-8.30103,11.699,1.40559,4.58282,-7.76004,10.5712
HKPP61,1.69897,5,-8.30103,11.699,1.58771,4.79929,-8.01088,11.1863
HKPP62,1.69897,5,-8.30103,11.699,1.70332,4.91732,-8.13133,11.538
HKPP63,1.69897,5,-8.30103,11.699,1.68331,3.16196,-4.64062,8.00724
HKPP64,1.69897,5,-8.30103,11.699,1.69609,4.19496,-6.69384,10.086
HKPP65,1.69897,5,-8.30103,11.699,1.6163,4.23439,-6.85248,10.0851
HKPP66,1.69897,5,-8.30103,11.699,1.60937,4.822,-8.03463,11.2534
HKPP67,1.69897,5,-8.30103,11.699,1.83652,4.86457,-7.89261,11.5657
HKPP68,1.69897,5,-8.30103,11.699,1.78897,4.64632,-7.50366,11.0816
HKPP69,1.69897,5,-8.30103,11.699,1.76632,4.17254,-6.57875,10.1114
HKPP70,1.69897,5,-8.30103,11.699,1.66793,4.87034,-8.07275,11.4086
