name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH1,-3.85943,5,-13.8594,6.14057,-2.90797,0.609286,-4.12654,-1.6894
RCH2,-4.02879,5,-14.0288,5.97121,-4.02879,5,-14.0288,5.97121
HKPP1,1.69897,5,-8.30103,11.699,1.70936,4.94791,-8.18647,11.6052
HKPP2,1.69897,5,-8.30103,11.699,1.69684,4.89526,-8.09368,11.4874
HKPP3,1.69897,5,-8.30103,11.699,1.95688,4.29558,-6.63427,10.548
HKPP4,1.69897,5,-8.30103,11.699,1.53813,4.83701,-8.1359,11.2122
HKPP5,1.69897,5,-8.30103,11.699,0.927636,4.59226,-8.25688,10.1122
HKPP6,1.69897,5,-8.30103,11.699,1.39504,4.23656,-7.07808,9.86816
HKPP7,1.69897,5,-8.30103,11.699,1.68468,4.77564,-7.86659,11.236
HKPP8,1.69897,5,-8.30103,11.699,1.45516,4.69367,-7.93218,10.8425
HKPP9,1.69897,5,-8.30103,11.699,1.8616,4.87234,-7.88308,11.6063
HKPP10,1.69897,5,-8.30103,11.699,2.40794,2.35856,-2.30918,7.12507
HKPP11,1.69897,5,-8.30103,11.699,1.15673,4.57695,-7.99717,10.3106
HKPP12,1.69897,5,-8.30103,11.699,1.24257,4.45532,-7.66808,10.1532
HKPP13,1.69897,5,-8.30103,11.699,1.76476,4.34513,-6.9255,10.455
HKPP14,1.69897,5,-8.30103,11.699,1.82217,4.79171,-7.76125,11.4056
HKPP15,1.69897,5,-8.30103,11.699,1.95857,4.74525,-7.53193,11.4491
HKPP16,1.69897,5,-8.30103,11.699,1.54768,4.87692,-8.20616,11.3015
HKPP17,1.69897,5,-8.30103,11.699,1.26743,4.86293,-8.45842,10.9933
HKPP18,1.69897,5,-8.30103,11.699,1.66651,4.99262,-8.31874,11.6518
HKPP19,1.69897,5,-8.30103,11.699,1.63323,4.91614,-8.19904,11.4655
