obsname       obsvalue       weight      group
     cr03c16    2.218672E+01   1.0000     head_cal
     cr03c10    2.408591E+01   1.0000     head_cal
      cr04c9    2.233339E+01   1.0000     head_cal
      cr10c2    3.183430E+01   1.0000     head_cal
     cr14c11    1.772841E+01   1.0000     head_cal
     cr16c17    1.656648E+01   1.0000     head_cal
     cr22c11    1.828594E+01   1.0000     head_cal
     cr23c16    1.520820E+01   1.0000     head_cal
      cr25c5    2.424294E+01   1.0000     head_cal
      cr27c7    2.274890E+01   1.0000     head_cal
     cr30c16    1.473617E+01   1.0000     head_cal
      cr34c8    1.861989E+01   1.0000     head_cal
     cr35c11    1.561996E+01   1.0000     head_cal
     fr03c16   -9.999990E+05   0.0000     head_fore
     fr03c10   -9.999990E+05   0.0000     head_fore
      fr04c9   -9.999990E+05   0.0000     head_fore
      fr10c2   -9.999990E+05   0.0000     head_fore
     fr14c11   -9.999990E+05   0.0000     head_fore
     fr16c17   -9.999990E+05   0.0000     head_fore
     fr22c11   -9.999990E+05   0.0000     head_fore
     fr23c16   -9.999990E+05   0.0000     head_fore
      fr25c5   -9.999990E+05   0.0000     head_fore
      fr27c7   -9.999990E+05   0.0000     head_fore
     fr30c16   -9.999990E+05   0.0000     head_fore
      fr34c8   -9.999990E+05   0.0000     head_fore
     fr35c11   -9.999990E+05   0.0000     head_fore
     fr02c02   -9.999990E+05   0.0000     head_fore
     fr01c13   -9.999990E+05   0.0000     head_fore
     fr09c15   -9.999990E+05   0.0000     head_fore
     fr25c10   -9.999990E+05   0.0000     head_fore
